# Generated by scripts/design/build-symbol-logos.py — do not hand-edit.
# symbol  source

gnt          crypto-icons
go           binance-icons/crypto
gold         crypto-icons
grc          crypto-icons
grin         crypto-icons
grs          crypto-icons
grt          binance-icons/crypto
grtdown      binance-icons/crypto
grtup        binance-icons/crypto
gsc          crypto-icons
gtc          binance-icons/crypto
gto          crypto-icons
gup          crypto-icons
gusd         crypto-icons
gvt          crypto-icons
gxs          crypto-icons
gyen         binance-icons/crypto
gzr          crypto-icons
hard         binance-icons/crypto
hc           binance-icons/crypto
hegic        binance-icons/crypto
hight        crypto-icons
hive         binance-icons/crypto
hns          crypto-icons
hnst         binance-icons/crypto
hnt          binance-icons/crypto
hodl         crypto-icons
hot          crypto-icons
hpb          crypto-icons
hsr          crypto-icons
ht           crypto-icons
html         crypto-icons
huc          crypto-icons
husd         crypto-icons
hush         crypto-icons
icn          crypto-icons
icp          crypto-icons
icx          crypto-icons
idrt         binance-icons/crypto
ignis        crypto-icons
ilk          crypto-icons
imx          binance-icons/crypto
inj          tv-logos/crypto
ink          crypto-icons
ins          crypto-icons
ion          crypto-icons
iop          crypto-icons
iost         crypto-icons
iota         binance-icons/crypto
iotx         crypto-icons
iq           crypto-icons
itc          crypto-icons
jasmy        binance-icons/crypto
jnt          crypto-icons
jpy          crypto-icons
jst          binance-icons/crypto
juv          binance-icons/crypto
kava         binance-icons/crypto
kcs          crypto-icons
keyfi        binance-icons/crypto
kin          crypto-icons
klay         binance-icons/crypto
kmd          crypto-icons
knc          crypto-icons
kncl         binance-icons/crypto
kp3r         binance-icons/crypto
krb          crypto-icons
ksm          crypto-icons
lbc          crypto-icons
lend         crypto-icons
leo          crypto-icons
lever        binance-icons/crypto
link         crypto-icons
linkdown     binance-icons/crypto
linkup       binance-icons/crypto
lkk          crypto-icons
loka         binance-icons/crypto
looks        binance-icons/crypto
loom         crypto-icons
loomold      binance-icons/crypto
lpt          crypto-icons
lrc          crypto-icons
lsk          crypto-icons
ltc          crypto-icons
ltcdown      binance-icons/crypto
ltcup        binance-icons/crypto
lun          crypto-icons
lunc         binance-icons/crypto
magic        binance-icons/crypto
maid         crypto-icons
mask         binance-icons/crypto
matic        crypto-icons
max          crypto-icons
mbl          binance-icons/crypto
mcap         crypto-icons
mco          crypto-icons
mda          crypto-icons
mds          crypto-icons
mdt          binance-icons/crypto
mdx          binance-icons/crypto
med          crypto-icons
meetone      crypto-icons
mft          crypto-icons
miota        crypto-icons
mir          binance-icons/crypto
mith         crypto-icons
mkr          crypto-icons
mln          crypto-icons
mnx          crypto-icons
mnz          crypto-icons
moac         crypto-icons
mob          binance-icons/crypto
mod          crypto-icons
mona         crypto-icons
movr         binance-icons/crypto
msr          crypto-icons
mth          crypto-icons
mtl          crypto-icons
mtlx         binance-icons/crypto
music        crypto-icons
mzc          crypto-icons
nano         crypto-icons
nas          crypto-icons
nav          crypto-icons
nbs          binance-icons/crypto
ncash        crypto-icons
ndz          crypto-icons
near         binance-icons/crypto
nebl         crypto-icons
neo          crypto-icons
neos         crypto-icons
neu          crypto-icons
nexo         crypto-icons
nft          binance-icons/crypto
ngc          crypto-icons
nio          crypto-icons
nkn          crypto-icons
nlc2         crypto-icons
nlg          crypto-icons
nmc          crypto-icons
nmr          crypto-icons
npxs         crypto-icons
nsbt         binance-icons/crypto
ntbc         crypto-icons
nu           binance-icons/crypto
nuls         crypto-icons
